FMI,Description,Severity,Type,Detailed_Explanation
0,High - most severe,CRITICAL,Electrical/Sensor,"VALOR ALTO CRÍTICO - Sensor/parameter reading abnormally high. Immediate action required. Example: Coolant temp >110°C, Oil pressure sensor shorted high."
1,Low - most severe,CRITICAL,Electrical/Sensor,"VALOR BAJO CRÍTICO - Sensor/parameter reading abnormally low. Immediate action required. Example: Oil pressure <100kPa, Battery voltage <10V."
2,Erratic/Intermittent/Incorrect,HIGH,Electrical/Sensor,"SEÑAL ERRÁTICA - Signal unstable, intermittent, or incorrect values. Example: Sensor wiring loose, intermittent short, fluctuating readings."
3,Voltage Above Normal,HIGH,Electrical,"VOLTAJE ALTO - Circuit voltage higher than expected. Example: Sensor power >5.5V (expect 5V), shorted to battery voltage."
4,Voltage Below Normal,HIGH,Electrical,"VOLTAJE BAJO - Circuit voltage lower than expected. Example: Sensor power <4.5V (expect 5V), high resistance in wiring."
5,Current Below Normal,HIGH,Electrical,"CORRIENTE BAJA - Circuit current lower than expected. Example: Injector/solenoid not drawing enough current, open circuit."
6,Current Above Normal,HIGH,Electrical,"CORRIENTE ALTA - Circuit current higher than expected. Example: Injector/solenoid drawing too much current, short circuit."
7,Not Responding Properly,HIGH,Mechanical/Electronic,"NO RESPONDE CORRECTAMENTE - Component not responding to commands. Example: VGT actuator stuck, EGR valve not moving to commanded position."
8,Abnormal Frequency/Pulse Width/Period,MODERATE,Electrical,"FRECUENCIA ANORMAL - Signal frequency, pulse width, or period incorrect. Example: Wheel speed sensor wrong frequency, camshaft sensor timing off."
9,Abnormal Update Rate,MODERATE,Communication,"TASA ACTUALIZACIÓN ANORMAL - Data not updating at expected rate. Example: CAN message too slow/fast, sensor update rate wrong."
10,Abnormal Rate of Change,MODERATE,Sensor/System,"TASA CAMBIO ANORMAL - Parameter changing too quickly or slowly. Example: Coolant temp rising too fast, fuel rate change too abrupt."
11,Other Failure Mode,HIGH,General,"OTRO MODO FALLA - Failure mode not covered by other FMIs. Check specific DTC documentation for details."
12,Failure,CRITICAL,Component,"FALLA COMPONENTE - Complete component failure detected. Example: Sensor dead, ECU module failed, total system failure."
13,Out of Calibration,MODERATE,Calibration,"FUERA CALIBRACIÓN - Component out of calibration range. Example: Sensor drift, injector timing off, pressure sensor offset."
14,Special Instruction,VARIES,Informational,"INSTRUCCIÓN ESPECIAL - Refer to OEM documentation for specific instructions. May require dealer tool or special procedure."
15,High - least severe,LOW,Electrical/Sensor,"VALOR ALTO MODERADO - Parameter high but not critical. Monitor and schedule maintenance. Example: DEF temp slightly elevated."
16,High - moderate severity,MODERATE,Electrical/Sensor,"VALOR ALTO MEDIO - Parameter moderately high. Attention needed soon. Example: Transmission temp 105°C (warning level)."
17,Low - least severe,LOW,Electrical/Sensor,"VALOR BAJO MODERADO - Parameter low but not critical. Monitor and schedule maintenance. Example: Battery voltage 11.5V (marginal)."
18,Low - moderate severity,MODERATE,Electrical/Sensor,"VALOR BAJO MEDIO - Parameter moderately low. Attention needed soon. Example: Coolant level 30% (needs refill)."
19,Data Error,MODERATE,Communication,"ERROR DATOS - Data received is invalid or corrupted. Example: CAN message checksum error, invalid parameter value."
20,Data Drifted High,MODERATE,Calibration,"DATOS DRIFT ALTO - Parameter drifting higher over time. Example: Sensor reading creeping up, calibration degrading."
21,Data Drifted Low,MODERATE,Calibration,"DATOS DRIFT BAJO - Parameter drifting lower over time. Example: Sensor reading creeping down, calibration degrading."
