SPN,Description,Category,Unit,Min,Max,Priority,OEM,Notes
0,Engine Speed,Engine,RPM,0,8031.875,1,Standard,Primary engine RPM sensor
1,Standard J1939 Parameter 1,Fuel,,,,3,Standard,SAE J1939 SPN 1
2,Standard J1939 Parameter 2,Transmission,,,,3,Standard,SAE J1939 SPN 2
3,Standard J1939 Parameter 3,Engine,,,,3,Standard,SAE J1939 SPN 3
4,Standard J1939 Parameter 4,Fuel,,,,3,Standard,SAE J1939 SPN 4
5,Standard J1939 Parameter 5,Transmission,,,,3,Standard,SAE J1939 SPN 5
6,Standard J1939 Parameter 6,Engine,,,,3,Standard,SAE J1939 SPN 6
7,Standard J1939 Parameter 7,Fuel,,,,3,Standard,SAE J1939 SPN 7
8,Standard J1939 Parameter 8,Transmission,,,,3,Standard,SAE J1939 SPN 8
9,Standard J1939 Parameter 9,Engine,,,,3,Standard,SAE J1939 SPN 9
10,Standard J1939 Parameter 10,Fuel,,,,3,Standard,SAE J1939 SPN 10
11,Standard J1939 Parameter 11,Transmission,,,,3,Standard,SAE J1939 SPN 11
12,Standard J1939 Parameter 12,Engine,,,,3,Standard,SAE J1939 SPN 12
13,Standard J1939 Parameter 13,Fuel,,,,3,Standard,SAE J1939 SPN 13
14,Standard J1939 Parameter 14,Transmission,,,,3,Standard,SAE J1939 SPN 14
15,Standard J1939 Parameter 15,Engine,,,,3,Standard,SAE J1939 SPN 15
16,Standard J1939 Parameter 16,Fuel,,,,3,Standard,SAE J1939 SPN 16
17,Standard J1939 Parameter 17,Transmission,,,,3,Standard,SAE J1939 SPN 17
18,Standard J1939 Parameter 18,Engine,,,,3,Standard,SAE J1939 SPN 18
19,Standard J1939 Parameter 19,Fuel,,,,3,Standard,SAE J1939 SPN 19
20,Standard J1939 Parameter 20,Transmission,,,,3,Standard,SAE J1939 SPN 20
21,Standard J1939 Parameter 21,Engine,,,,3,Standard,SAE J1939 SPN 21
22,Standard J1939 Parameter 22,Fuel,,,,3,Standard,SAE J1939 SPN 22
23,Standard J1939 Parameter 23,Transmission,,,,3,Standard,SAE J1939 SPN 23
24,Standard J1939 Parameter 24,Engine,,,,3,Standard,SAE J1939 SPN 24
25,Standard J1939 Parameter 25,Fuel,,,,3,Standard,SAE J1939 SPN 25
26,Standard J1939 Parameter 26,Transmission,,,,3,Standard,SAE J1939 SPN 26
27,Standard J1939 Parameter 27,Engine,,,,3,Standard,SAE J1939 SPN 27
28,Standard J1939 Parameter 28,Fuel,,,,3,Standard,SAE J1939 SPN 28
29,Standard J1939 Parameter 29,Transmission,,,,3,Standard,SAE J1939 SPN 29
30,Standard J1939 Parameter 30,Engine,,,,3,Standard,SAE J1939 SPN 30
31,Standard J1939 Parameter 31,Fuel,,,,3,Standard,SAE J1939 SPN 31
32,Standard J1939 Parameter 32,Transmission,,,,3,Standard,SAE J1939 SPN 32
33,Standard J1939 Parameter 33,Engine,,,,3,Standard,SAE J1939 SPN 33
34,Standard J1939 Parameter 34,Fuel,,,,3,Standard,SAE J1939 SPN 34
35,Standard J1939 Parameter 35,Transmission,,,,3,Standard,SAE J1939 SPN 35
36,Standard J1939 Parameter 36,Engine,,,,3,Standard,SAE J1939 SPN 36
37,Standard J1939 Parameter 37,Fuel,,,,3,Standard,SAE J1939 SPN 37
38,Standard J1939 Parameter 38,Transmission,,,,3,Standard,SAE J1939 SPN 38
39,Standard J1939 Parameter 39,Engine,,,,3,Standard,SAE J1939 SPN 39
40,Standard J1939 Parameter 40,Fuel,,,,3,Standard,SAE J1939 SPN 40
41,Standard J1939 Parameter 41,Transmission,,,,3,Standard,SAE J1939 SPN 41
42,Standard J1939 Parameter 42,Engine,,,,3,Standard,SAE J1939 SPN 42
43,Standard J1939 Parameter 43,Fuel,,,,3,Standard,SAE J1939 SPN 43
44,Standard J1939 Parameter 44,Transmission,,,,3,Standard,SAE J1939 SPN 44
45,Standard J1939 Parameter 45,Engine,,,,3,Standard,SAE J1939 SPN 45
46,Standard J1939 Parameter 46,Fuel,,,,3,Standard,SAE J1939 SPN 46
47,Standard J1939 Parameter 47,Transmission,,,,3,Standard,SAE J1939 SPN 47
48,Standard J1939 Parameter 48,Engine,,,,3,Standard,SAE J1939 SPN 48
49,Standard J1939 Parameter 49,Fuel,,,,3,Standard,SAE J1939 SPN 49
50,Standard J1939 Parameter 50,Transmission,,,,3,Standard,SAE J1939 SPN 50
51,Standard J1939 Parameter 51,Engine,,,,3,Standard,SAE J1939 SPN 51
52,Standard J1939 Parameter 52,Fuel,,,,3,Standard,SAE J1939 SPN 52
53,Standard J1939 Parameter 53,Transmission,,,,3,Standard,SAE J1939 SPN 53
54,Standard J1939 Parameter 54,Engine,,,,3,Standard,SAE J1939 SPN 54
55,Standard J1939 Parameter 55,Fuel,,,,3,Standard,SAE J1939 SPN 55
56,Standard J1939 Parameter 56,Transmission,,,,3,Standard,SAE J1939 SPN 56
57,Standard J1939 Parameter 57,Engine,,,,3,Standard,SAE J1939 SPN 57
58,Standard J1939 Parameter 58,Fuel,,,,3,Standard,SAE J1939 SPN 58
59,Standard J1939 Parameter 59,Transmission,,,,3,Standard,SAE J1939 SPN 59
60,Standard J1939 Parameter 60,Engine,,,,3,Standard,SAE J1939 SPN 60
61,Standard J1939 Parameter 61,Fuel,,,,3,Standard,SAE J1939 SPN 61
62,Standard J1939 Parameter 62,Transmission,,,,3,Standard,SAE J1939 SPN 62
63,Standard J1939 Parameter 63,Engine,,,,3,Standard,SAE J1939 SPN 63
64,Standard J1939 Parameter 64,Fuel,,,,3,Standard,SAE J1939 SPN 64
65,Standard J1939 Parameter 65,Transmission,,,,3,Standard,SAE J1939 SPN 65
66,Standard J1939 Parameter 66,Engine,,,,3,Standard,SAE J1939 SPN 66
67,Standard J1939 Parameter 67,Fuel,,,,3,Standard,SAE J1939 SPN 67
68,Standard J1939 Parameter 68,Transmission,,,,3,Standard,SAE J1939 SPN 68
69,Standard J1939 Parameter 69,Engine,,,,3,Standard,SAE J1939 SPN 69
70,Standard J1939 Parameter 70,Fuel,,,,3,Standard,SAE J1939 SPN 70
71,Standard J1939 Parameter 71,Transmission,,,,3,Standard,SAE J1939 SPN 71
72,Standard J1939 Parameter 72,Engine,,,,3,Standard,SAE J1939 SPN 72
73,Standard J1939 Parameter 73,Fuel,,,,3,Standard,SAE J1939 SPN 73
74,Standard J1939 Parameter 74,Transmission,,,,3,Standard,SAE J1939 SPN 74
75,Standard J1939 Parameter 75,Engine,,,,3,Standard,SAE J1939 SPN 75
76,Standard J1939 Parameter 76,Fuel,,,,3,Standard,SAE J1939 SPN 76
77,Standard J1939 Parameter 77,Transmission,,,,3,Standard,SAE J1939 SPN 77
78,Standard J1939 Parameter 78,Engine,,,,3,Standard,SAE J1939 SPN 78
79,Standard J1939 Parameter 79,Fuel,,,,3,Standard,SAE J1939 SPN 79
80,Standard J1939 Parameter 80,Transmission,,,,3,Standard,SAE J1939 SPN 80
81,Standard J1939 Parameter 81,Engine,,,,3,Standard,SAE J1939 SPN 81
82,Standard J1939 Parameter 82,Fuel,,,,3,Standard,SAE J1939 SPN 82
83,Standard J1939 Parameter 83,Transmission,,,,3,Standard,SAE J1939 SPN 83
84,Wheel-Based Vehicle Speed,Vehicle,km/h,0,250.996,1,Standard,Vehicle speed from wheels
85,Standard J1939 Parameter 85,Fuel,,,,3,Standard,SAE J1939 SPN 85
86,Standard J1939 Parameter 86,Transmission,,,,3,Standard,SAE J1939 SPN 86
87,Standard J1939 Parameter 87,Engine,,,,3,Standard,SAE J1939 SPN 87
88,Standard J1939 Parameter 88,Fuel,,,,3,Standard,SAE J1939 SPN 88
89,Standard J1939 Parameter 89,Transmission,,,,3,Standard,SAE J1939 SPN 89
90,Standard J1939 Parameter 90,Engine,,,,3,Standard,SAE J1939 SPN 90
91,Accelerator Pedal Position 1,Engine,%,0,100,2,Standard,Primary accelerator pedal
92,Engine Percent Load At Current Speed,Engine,%,0,125,2,Standard,Engine load percentage
93,Standard J1939 Parameter 93,Engine,,,,3,Standard,SAE J1939 SPN 93
94,Fuel Delivery Pressure,Fuel,kPa,0,600000,2,Standard,High pressure fuel rail
95,Standard J1939 Parameter 95,Transmission,,,,3,Standard,SAE J1939 SPN 95
96,Fuel Level,Fuel,%,0,100,3,Standard,Fuel tank level sensor
97,Standard J1939 Parameter 97,Fuel,,,,3,Standard,SAE J1939 SPN 97
98,Standard J1939 Parameter 98,Transmission,,,,3,Standard,SAE J1939 SPN 98
99,Standard J1939 Parameter 99,Engine,,,,3,Standard,SAE J1939 SPN 99
100,Engine Oil Pressure,Engine,kPa,0,1000,1,Standard,Engine oil pressure - CRITICAL
101,Standard J1939 Parameter 101,Transmission,,,,3,Standard,SAE J1939 SPN 101
102,Intake Manifold Pressure,Engine,kPa,0,500,2,Standard,Boost pressure
103,Standard J1939 Parameter 103,Fuel,,,,3,Standard,SAE J1939 SPN 103
104,Standard J1939 Parameter 104,Transmission,,,,3,Standard,SAE J1939 SPN 104
105,Standard J1939 Parameter 105,Engine,,,,3,Standard,SAE J1939 SPN 105
106,Standard J1939 Parameter 106,Fuel,,,,3,Standard,SAE J1939 SPN 106
107,Standard J1939 Parameter 107,Transmission,,,,3,Standard,SAE J1939 SPN 107
108,Standard J1939 Parameter 108,Engine,,,,3,Standard,SAE J1939 SPN 108
109,Standard J1939 Parameter 109,Fuel,,,,3,Standard,SAE J1939 SPN 109
110,Engine Coolant Temperature,Engine,°C,-40,210,1,Standard,Coolant temperature - CRITICAL
111,Standard J1939 Parameter 111,Engine,,,,3,Standard,SAE J1939 SPN 111
112,Standard J1939 Parameter 112,Fuel,,,,3,Standard,SAE J1939 SPN 112
113,Standard J1939 Parameter 113,Transmission,,,,3,Standard,SAE J1939 SPN 113
114,Standard J1939 Parameter 114,Engine,,,,3,Standard,SAE J1939 SPN 114
115,Standard J1939 Parameter 115,Fuel,,,,3,Standard,SAE J1939 SPN 115
116,Standard J1939 Parameter 116,Transmission,,,,3,Standard,SAE J1939 SPN 116
117,Standard J1939 Parameter 117,Engine,,,,3,Standard,SAE J1939 SPN 117
118,Standard J1939 Parameter 118,Fuel,,,,3,Standard,SAE J1939 SPN 118
119,Standard J1939 Parameter 119,Transmission,,,,3,Standard,SAE J1939 SPN 119
120,Standard J1939 Parameter 120,Engine,,,,3,Standard,SAE J1939 SPN 120
121,Standard J1939 Parameter 121,Fuel,,,,3,Standard,SAE J1939 SPN 121
122,Standard J1939 Parameter 122,Transmission,,,,3,Standard,SAE J1939 SPN 122
123,Standard J1939 Parameter 123,Engine,,,,3,Standard,SAE J1939 SPN 123
124,Standard J1939 Parameter 124,Fuel,,,,3,Standard,SAE J1939 SPN 124
125,Standard J1939 Parameter 125,Transmission,,,,3,Standard,SAE J1939 SPN 125
126,Standard J1939 Parameter 126,Engine,,,,3,Standard,SAE J1939 SPN 126
127,Standard J1939 Parameter 127,Fuel,,,,3,Standard,SAE J1939 SPN 127
128,Standard J1939 Parameter 128,Transmission,,,,3,Standard,SAE J1939 SPN 128
129,Standard J1939 Parameter 129,Engine,,,,3,Standard,SAE J1939 SPN 129
130,Standard J1939 Parameter 130,Fuel,,,,3,Standard,SAE J1939 SPN 130
131,Standard J1939 Parameter 131,Transmission,,,,3,Standard,SAE J1939 SPN 131
132,Standard J1939 Parameter 132,Engine,,,,3,Standard,SAE J1939 SPN 132
133,Standard J1939 Parameter 133,Fuel,,,,3,Standard,SAE J1939 SPN 133
134,Standard J1939 Parameter 134,Transmission,,,,3,Standard,SAE J1939 SPN 134
